Pergunta,Resposta,LGPD
O que é a LGPD?,"A Lei Geral de Proteção de Dados é a legislação brasileira que estabelece diretrizes para a coleta, armazenamento, tratamento e compartilhamento de dados pessoais, protegendo a privacidade e garantindo a liberdade dos indivíduos.",1
Quais são os princípios fundamentais da LGPD?,"Os princípios fundamentais da LGPD incluem finalidade, adequação, necessidade, livre acesso, qualidade dos dados, transparência, segurança, prevenção, não discriminação, responsabilização e prestação de contas.",1
O que é um algoritmo de ordenação?,"Um algoritmo de ordenação é um conjunto de instruções que organiza os elementos de uma lista em uma ordem específica, como numérica ou alfabética.",0
Qual é a diferença entre uma linguagem de programação de alto nível e uma linguagem de baixo nível?,"Uma linguagem de programação de alto nível é mais próxima da linguagem humana e fornece abstrações de hardware, enquanto uma linguagem de baixo nível é mais próxima da linguagem de máquina e fornece controle direto sobre o hardware do computador.",0
Quem é afetado pela LGPD?,"A LGPD afeta todas as organizações, públicas ou privadas, que coletam, armazenam, tratam ou processam dados pessoais de indivíduos no Brasil, independentemente do local onde a organização esteja sediada.",1
O que é programação orientada a objetos?,A programação orientada a objetos é um paradigma de programação que organiza o software em objetos que interagem entre si. Cada objeto é uma instância de uma classe e possui atributos e métodos que definem seu comportamento.,0
O que são dados pessoais sob a ótica da LGPD?,"Dados pessoais são quaisquer informações relacionadas a pessoa natural identificada ou identificável. Isso inclui, mas não se limita a, nome, endereço, e-mail, número de identificação, dados de localização e identificadores eletrônicos.",1
O que são blockchains e como eles funcionam?,"Blockchains são registros digitais descentralizados e imutáveis de transações que são compartilhados entre várias partes. Cada bloco de transação é ligado de forma criptografada ao anterior, formando uma cadeia. Eles funcionam através de um sistema de consenso distribuído que garante a integridade e a segurança dos dados, eliminando a necessidade de intermediários.",0
O que é a Internet das Coisas (IoT) e como ela está mudando o mundo?,"A Internet das Coisas (IoT) refere-se à rede de dispositivos físicos conectados à internet, capazes de coletar e trocar dados entre si. Isso está mudando o mundo ao permitir a automação de processos, a criação de cidades inteligentes, o monitoramento remoto de equipamentos e uma infinidade de outras aplicações.",0
O que é aprendizado de máquina e como ele difere da programação tradicional?,"A aprendizagem de máquina é um ramo da inteligência artificial que permite que os sistemas aprendam a partir de dados, identificando padrões e tomando decisões com pouca ou nenhuma intervenção humana. Ao contrário da programação tradicional, onde as regras são explicitamente definidas, no aprendizado de máquina, os algoritmos aprendem a partir dos dados.",0
O que são dados sensíveis e como a LGPD os trata?,"Dados sensíveis são aqueles que tratam de origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato ou a organização de caráter religioso, filosófico ou político, dado referente à saúde ou à vida sexual, dado genético ou biométrico. A LGPD estabelece regras mais rigorosas para o tratamento desses dados, exigindo consentimento específico e destacado para seu uso.",1
Quais são as penalidades para o não cumprimento da LGPD?,"As penalidades variam desde advertências até multas que podem chegar a 2% do faturamento da empresa, limitadas a R$ 50 milhões por infração, além de bloqueio e eliminação dos dados pessoais a que se refere a infração.",1
Como as empresas devem proceder para se adequar à LGPD?,"As empresas devem realizar um mapeamento de dados para entender quais dados são coletados, como são armazenados, processados e compartilhados. Além disso, devem estabelecer políticas de privacidade claras, obter consentimento para tratamento de dados, implementar medidas de segurança adequadas e nomear um Encarregado pelo Tratamento de Dados Pessoais (DPO).",1
O que é o consentimento na LGPD e como deve ser obtido?,"Consentimento é a manifestação livre, informada e inequívoca pela qual o titular concorda com o tratamento de seus dados pessoais para uma finalidade determinada. Deve ser obtido de forma clara e distinta das demais disposições, garantindo ao titular a liberdade de negar seu consentimento sem que isso afete a prestação de serviços.",1
Qual é a diferença entre uma linguagem compilada e uma linguagem interpretada?,"Uma linguagem compilada é traduzida inteiramente para código de máquina antes da execução, enquanto uma linguagem interpretada é traduzida linha por linha durante a execução do programa.",0
O que é Git e para que serve?,Git é um sistema de controle de versão distribuído usado principalmente no desenvolvimento de software para controlar mudanças no código-fonte ao longo do tempo. Ele permite que várias pessoas colaborem no mesmo projeto de forma eficiente.,0
Quem é o Encarregado de Dados (DPO) e qual sua função?,"O Encarregado de Dados (Data Protection Officer - DPO) é a pessoa indicada pela organização para atuar como canal de comunicação entre a empresa, os titulares dos dados e a Autoridade Nacional de Proteção de Dados (ANPD). Suas principais funções incluem informar, aconselhar, monitorar a conformidade com a LGPD e cooperar com a autoridade de proteção de dados.",1
 Como os titulares de dados podem exercer seus direitos previstos na LGPD?,"Os titulares de dados podem exercer seus direitos entrando em contato com o controlador de dados para solicitar a confirmação da existência de tratamento, acesso aos dados, correção de dados incompletos, inexatos ou desatualizados, anonimização, bloqueio ou eliminação de dados desnecessários, portabilidade dos dados a outro fornecedor de serviço ou produto, entre outros direitos previstos na lei.",1
O que é anonimização e como é tratada pela LGPD?,"Anonimização é o processo pelo qual um dado pessoal perde a possibilidade de associação, direta ou indireta, a um indivíduo. Segundo a LGPD, dados anonimizados, desde que não possam ser reidentificados, não são considerados dados pessoais, portanto, não são objeto da legislação.",1
Qual é o papel da Autoridade Nacional de Proteção de Dados (ANPD)?,"A ANPD é o órgão responsável por fiscalizar, implementar e orientar o cumprimento da LGPD no Brasil. Suas atribuições incluem a edição de normas e diretrizes complementares para garantir a proteção de dados pessoais, além de aplicar sanções em caso de violação da legislação.",1
O que é fotossíntese?,"A fotossíntese é o processo pelo qual as plantas, algas e algumas bactérias convertem luz solar, dióxido de carbono e água em glicose e oxigênio, liberando oxigênio para a atmosfera como subproduto.",0
O que é a teoria da evolução de Charles Darwin?,"A teoria da evolução de Charles Darwin postula que as espécies mudam ao longo do tempo através de um processo chamado seleção natural, onde os organismos com características favoráveis têm maior probabilidade de sobreviver e se reproduzir.",0
O que é a Lei da Gravidade de Isaac Newton?,"A Lei da Gravidade de Isaac Newton afirma que todos os corpos no universo se atraem com uma força direcionada ao longo da linha reta que une seus centros de massa, sendo proporcional ao produto de suas massas e inversamente proporcional ao quadrado da distância entre eles.",0
Como a LGPD impacta o marketing digital?,"A LGPD impacta significativamente o marketing digital, exigindo que as práticas de coleta, uso e armazenamento de dados para fins de publicidade sejam transparentes e baseadas no consentimento dos usuários. Isso inclui a necessidade de revisão de formulários online, políticas de privacidade, e estratégias de segmentação e personalização de campanhas.",1
Quais são as bases legais para o tratamento de dados pela LGPD?,"A LGPD prevê dez bases legais para o tratamento de dados, incluindo o consentimento do titular, o cumprimento de obrigação legal ou regulatória pelo controlador, a execução de políticas públicas, a realização de estudos por órgão de pesquisa, a execução de contrato ou procedimentos preliminares relacionados a contrato do qual seja parte o titular, entre outros.",1
O que são redes neurais artificiais e como são usadas em inteligência artificial?,"Redes neurais artificiais são modelos computacionais inspirados no funcionamento do cérebro humano, compostos por neurônios interconectados que processam informações. Elas são usadas em inteligência artificial para tarefas como reconhecimento de padrões, processamento de linguagem natural, visão computacional e muitas outras aplicações.",0
Qual é a importância da segurança da informação em ambientes digitais?,"A segurança da informação é crucial para proteger dados confidenciais e garantir a integridade, confidencialidade e disponibilidade das informações em ambientes digitais. Isso inclui medidas como criptografia, autenticação, controle de acesso, monitoramento de ameaças e conformidade com regulamentações de privacidade e segurança.",0
